Date,SARIMA_forecast,SARIMA_lower_80,SARIMA_upper_80,Prophet_forecast,Prophet_lower_80,Prophet_upper_80
2026-01-01,201662.63561928394,170668.86983976132,232656.40139880657,194659.2873826812,176278.41113634387,213039.18059580194
2026-02-01,188044.312891674,156121.61318544956,219967.01259789843,191296.33320829086,172126.34179541317,209593.41078119323
2026-03-01,201932.06336603628,170007.88292031852,233856.24381175404,177910.37019234133,158481.68409563584,196124.71950198835
2026-04-01,200960.12653979403,168809.71761458332,233110.53546500474,189695.46268976628,172119.8478497302,208671.1601517678
2026-05-01,188910.9225492602,155787.7507396483,222034.0943588721,177506.3446661622,158967.45371257648,195848.72237915723
2026-06-01,191616.99511421227,157455.25795074867,225778.73227767588,184128.83361519463,165564.56079831847,202904.66093808238
2026-07-01,197944.34984397472,163029.8364676444,232858.86322030504,179767.3222043796,161895.45028072016,197341.19069783582
2026-08-01,208816.30841149646,173279.03155060945,244353.58527238347,197633.5244210477,179085.69333226286,216665.72091928704
2026-09-01,193410.1337967039,157238.06755859932,229582.2000348085,190075.61999450924,171673.141257369,209781.10237186216
2026-10-01,188701.67820873598,151862.1188040529,225541.23761341904,192797.41122125764,172505.14712708315,210921.37342933693
2026-11-01,197667.2660809865,160161.61627886406,235172.91588310894,193629.86727690935,174886.42565313715,211339.44981686614
2026-12-01,201732.01582361042,163581.24434421014,239882.7873030107,191875.11083252335,173078.83719406804,210698.25759175466
